state_code,rto,lat,lng
TN,BATLAGUNDU UO - TN596,10.1534103,77.74162799999999
TN,BHAVANI UO - TN578,11.4470564,77.6839768
TN,CHENGALPATTU RTO - TN19,12.7052654,79.9770929
TN,CHENNAI,13.0986496,80.2420666
TN,CHEYYAR UO - TN635,12.6618258,79.54346799999999
TN,CHIDAMBARAM RTO - TN544,11.447325,79.7104517
TN,COIMBATORE,11.0162374,76.925004
TN,CUDDALORE RTO - TN31,11.7466946,79.74835519999999
TN,DHARAPURAM RTO - TN594,10.7547403,77.5168132
TN,DHARMAPURI RTO - TN29,12.104247,78.14693179999999
TN,DINDIGUL RTO - TN57,10.3933601,77.9615111
TN,ERODE RTO - TN33,11.3523054,77.7155302
TN,ERODE,11.3696491,77.69459839999999
TN,GINGEE UO - TN627,12.2529068,79.4160149
TN,GOPICHETTIPALAYAM RTO - TN36,11.4580721,77.40756209999999
TN,GUDALORE UO - TN582,11.5011728,76.4921583
TN,GUDIYATHAM UO - TN514,12.9427995,78.86816139999999
TN,GUMMIDIPOONDI UO - TN625,13.4109557,80.11697079999999
TN,HARUR UO - TN527,12.051848,78.4749496
TN,HOSUR RTO - TN70,12.7237323,77.8254022
TN,ILLUPPUR UO - TN629,10.7348492,79.7391598
TN,KALLAKURICHI RTO - TN615,11.7404653,78.9951402
TN,KANCHEEPURAM RTO - TN21,12.8396267,79.7037108
TN,KANGEYAM UO - TN593,11.0053233,77.5608695
TN,KARAIKUDI UO - TN602,10.07354,78.773198
TN,KARUR RTO - TN47,10.9155721,78.0936502
TN,KOVILPATTI RTO - TN607,9.1851281,77.892185
TN,KRISHNAGIRI RTO - TN24,12.5580365,78.201754
TN,KULITHALI UO - TN585,10.9425987,78.4171909
TN,KUMARAPALAYAM RTO - TN638,11.4362628,77.7232172
TN,KUMBAKONAM RTO - TN68,10.9405237,79.3551356
TN,KUNDRATHUR RTO - TN85,12.9793136,80.0951863
TN,LALKUDI UO - TN631,10.8711566,78.8197036
TN,MADURAI,9.8843854,78.11910929999999
TN,MADURANTAGAM UO - TN508,12.5089244,79.88473549999999
TN,MANAPARAI UO - TN584,10.6089324,78.42332669999999
TN,MANMANGALAM UO - TN637,11.0268251,78.06560999999999
TN,MANNARGUDI UO - TN588,10.6631615,79.4481754
TN,MARTHANDAM RTO - TN75,8.3022156,77.2231219
TN,MAYILADUTHURAI RTO - TN589,11.1069895,79.65521869999999
TN,MEENAMBAKKAM RTO - TN22,13.0042147,80.2025878
TN,MELUR UO - TN600,10.0312879,78.33821170000002
TN,METTUPALAYAM RTO - TN40,11.3027849,76.9383385
TN,METTUR RTO - TN590,11.7829042,77.8004294
TN,MUSURI UO - TN621,10.9515663,78.4419364
TN,NAGAPATTINAM RTO - TN51,10.7745184,79.84096
TN,NAGERCOIL RTO - TN74,8.19127,77.4220374
TN,NAMAKKAL,11.2516264,78.1257475
TN,NATHAM UO - TN640,10.2261119,78.22945349999999
TN,NEYVELI UO - TN562,11.5389807,79.4793861
TN,ODDANCHATRAM  UO - TN595,10.4897472,77.7543611
TN,OMALURE UO - TN535,11.7428803,78.04731280000001
TN,OOTY RTO - TN43,11.4099832,76.70893029999999
TN,PALACODE UO - TN616,12.3045694,78.0729903
TN,PALANI RTO - TN597,10.4500374,77.5161356
TN,PANRUTI UO - TN626,11.7665792,79.5629117
TN,PARAMAKUDI UO - TN603,9.5503862,78.5841633
TN,PARAMATHI VELLURE UO - TN517,11.1525103,78.0252466
TN,PATTUKOTTAI UNIT OFFICE - TN587,10.4232271,79.3199985
TN,PERAMBALUR RTO - TN46,11.2716886,78.89921950000002
TN,PERUNDURAI RTO - TN56,11.2825278,77.5891374
TN,POLLACHI RTO - TN41,10.6554515,77.0271202
TN,POONAMALLEE RTO - TN511,13.0572348,80.111604
TN,PUDUKOTTAI RTO - TN55,10.366389,78.8184165
TN,RAJAPALAYAM UO - TN643,9.4514843,77.55434249999999
TN,RAMANATHAPURAM RTO - TN65,9.3651138,78.8307348
TN,RANIPET RTO - TN73,13.0541228,79.5652034
TN,RASIPURAM UO - TN526,11.4614624,78.1854772
TN,REDHILLS RTO - TN18,13.1963824,80.160506
TN,RTO CHENNAI,13.0043674,80.2029092
TN,SALEM,11.664325,78.1460142
TN,SANKAGIRI RTO - TN52,11.4776175,77.8761286
TN,SANKARANKOVIL RTO - TN610,9.1915112,77.53473
TN,SATHYAMANGALAM UO - TN579,11.5034192,77.24443480000001
TN,SHOLINGANALLUR RTO - TN512,12.8991535,80.2275119
TN,SIRKALI UO - TN623,11.2407109,79.7372255
TN,SIVAGANGAI RTO - TN63,9.8589428,78.4908798
TN,SIVAKASI RTO - TN604,9.4532852,77.80241699999999
TN,SRIPERUMBUDUR RTO - TN614,12.9559172,79.9439397
TN,SRIRANGAM RTO - TN48,10.8628869,78.7042536
TN,SRIVILLIPUTHUR RTO - TN605,9.5545238,77.6777852
TN,STATE TRANSPORT AUTHORITY - TN999,11.1271225,78.6568942
TN,SULUR UO - TN620,11.0273261,77.1201396
TN,TAMBARAM RTO - TN513,12.9312429,80.1082904
TN,TENKASI RTO - TN76,8.9911105,77.2958261
TN,THANJAVUR RTO - TN49,10.7294436,79.08938859999999
TN,THENI RTO - TN60,9.8426695,77.3830076
TN,THIRUCHENDUR RTO - TN606,8.4976846,78.11942959999999
TN,THIRUKALUKUNTRAM UO - TN639,12.609112,80.0674695
TN,THIRUMANGALAM  UO - TN598,9.8216147,77.9891394
TN,THIRUPATTUR RTO - TN624,12.4475323,78.5428251
TN,THIRUTHURAIPOONDI UO - TN630,10.5488795,79.639015
TN,THIRUTTANI UO - TN634,13.1746411,79.611721
